epoch,acc,dice_coef,loss,lr,val_acc,val_dice_coef,val_loss
155,0.915337945024,0.894597381353,-1.11916430791,3.05176e-06,0.881441235542,0.862064739068,0.363549232483
156,0.914709915717,0.894115164876,-1.0871441414,3.05176e-06,0.881394187609,0.862064043681,0.363695810239
157,0.916385660569,0.895274599393,-1.12420710921,3.05176e-06,0.881374100844,0.862078726292,0.363783528407
158,0.916679829359,0.896166766683,-1.15004099781,3.05176e-06,0.881362160047,0.862057308356,0.363748013973
159,0.91548131903,0.894899914662,-1.11899410685,3.05176e-06,0.881392935912,0.862063745658,0.363607317209
160,0.917227491736,0.896296133598,-1.15493958692,3.05176e-06,0.881407678127,0.862049976985,0.363531033198
161,0.917867089311,0.89730442067,-1.15933444103,1.52588e-06,0.88137002786,0.862046897411,0.363679567973
162,0.915982623895,0.895407920082,-1.13557602465,1.52588e-06,0.881355802218,0.862052122752,0.363716075818
163,0.915911987424,0.895542725921,-1.13168802857,1.52588e-06,0.881310780843,0.862037301064,0.36389157176
164,0.915600404143,0.895577500264,-1.1353373304,1.52588e-06,0.881280263265,0.862051844597,0.364041785399
165,0.916434158882,0.895683894555,-1.13819672664,1.52588e-06,0.881263474623,0.862033188343,0.364136974017
166,0.915843645732,0.894947066903,-1.12212914228,1.52588e-06,0.881262699763,0.862052579721,0.364168743292
167,0.91911093394,0.897989228368,-1.18455994626,7.62939e-07,0.881251533826,0.862047572931,0.364209761222
168,0.914235368371,0.894115398328,-1.1012110884,7.62939e-07,0.881248474121,0.862045824528,0.364241758982
169,0.91540304323,0.895215426882,-1.11871164044,7.62939e-07,0.881225069364,0.862032612165,0.364336351554
170,0.917633508643,0.897264838219,-1.16209119062,7.62939e-07,0.881228387356,0.862023830414,0.364359279474
171,0.919819513957,0.899342680971,-1.21190658708,7.62939e-07,0.881233970324,0.862032254537,0.364331583182
172,0.919062927365,0.898702417811,-1.19986662269,7.62939e-07,0.881220499674,0.86202019453,0.36438592275
173,0.918459579349,0.897494201859,-1.18297807376,5e-07,0.881216188272,0.862032532692,0.364375611146
174,0.914476965864,0.893487075965,-1.07168898483,5e-07,0.881214638551,0.86202943325,0.364437411229
175,0.916030133764,0.895409047604,-1.12648312747,5e-07,0.881224056085,0.862052520116,0.364459911982
176,0.917304356893,0.897217944264,-1.1740382115,5e-07,0.881206512451,0.862045486768,0.364537934462
177,0.914606725176,0.894400427739,-1.10614518325,5e-07,0.881214638551,0.862058440844,0.364537596703
178,0.91862671574,0.898121873538,-1.1939347585,5e-07,0.881230672201,0.862063248952,0.364439994097
179,0.915738801161,0.894832159082,-1.11481112987,5e-07,0.881251792113,0.862077891827,0.364424864451
180,0.917272309462,0.896041740974,-1.14948933323,5e-07,0.881255328655,0.862085938454,0.364430536826
181,0.915970101953,0.895547538996,-1.13165471454,5e-07,0.881263216337,0.862091978391,0.36441196998
182,0.91588033239,0.895260403554,-1.13220417996,5e-07,0.881258130074,0.86208854119,0.364437997341
183,0.911137258013,0.89153940479,-1.05222611626,5e-07,0.881285846233,0.862100660801,0.364430010319
184,0.914996584256,0.894510557254,-1.09659906228,5e-07,0.881265262763,0.86207062006,0.36457251509
185,0.918686166406,0.897499834498,-1.1677146107,5e-07,0.881261964639,0.862078507741,0.364564180374
186,0.916016384959,0.895977949103,-1.13694951932,5e-07,0.881252288818,0.862080574036,0.364553441604
187,0.91449674964,0.894787112872,-1.10838627319,5e-07,0.881252547105,0.862083772818,0.364551087221
188,0.917093977332,0.896692991257,-1.15874918302,5e-07,0.881263752778,0.862071851889,0.364494820436
